nombre_de_producto,categoria,marca,precio,unidades_disponibles,en_descuento,precio_de_descuento,metodo_de_envio,metodos_de_pago,opciones_de_financiacion,politicas_de_devolucion,instrucciones_de_compra
Calcetines Crew Dri-FIT Nike,Deportes y Aire Libre,Nike,369.93,212,True,196.12,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Juego de utensilios antiadherentes KitchenAid,Cocina y Hogar,KitchenAid,8939.9,477,True,6523.57,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Juego de Pads de Pegatinas Reutilizables de Melissa & Doug,Juguetes y Juegos,Melissa & Doug,1936.63,876,True,1280.93,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Máquina para hacer wafles redondos clásicos Cuisinart,Cocina y Hogar,Cuisinart,9335.33,921,True,5806.83,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Asiento para Bebés Sentados de Fisher-Price,Juguetes y Juegos,Fisher-Price,2154.32,376,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Zapatillas Nike Air Zoom Pegasus 38 para Correr,"Ropa, Zapatos y Accesorios",Nike,6125.95,272,True,4498.06,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Botas de Senderismo Newton Ridge Plus para Mujer de Columbia,Deportes y Aire Libre,Columbia,687.51,449,True,389.29,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Apple iPhone 13 mini,Electrónica,Apple,4990.59,844,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Cinturón de piel Double G para Mujeres de Gucci,"Ropa, Zapatos y Accesorios",Gucci,485.02,210,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Pulpo de Aprendizaje Think & Learn Rocktopus de Fisher-Price,Juguetes y Juegos,Fisher-Price,2405.89,336,True,1475.53,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Bolso de hombro de nailon de Prada,"Ropa, Zapatos y Accesorios",Prada,8913.8,206,True,4785.15,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Samsung TV QLED 4K Inteligente de 55 pulgadas,Electrónica,Samsung,2124.71,724,True,1545.99,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Zapatillas de Running Nike Epic React Flyknit 2,Deportes y Aire Libre,Nike,257.72,863,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Zapatillas de Tenis Adidas Grand Court Base,Deportes y Aire Libre,Adidas,524.97,220,True,369.57,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Zombies de Call of Duty Black Ops 4 de Mega Construx,Juguetes y Juegos,Mattel,1426.71,724,True,1135.12,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Mochila The North Face Recon,Deportes y Aire Libre,The North Face,775.17,543,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Pantalones Convertibles Silver Ridge para Hombre de Columbia,Deportes y Aire Libre,Columbia,554.23,223,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Set de Tren de Granja de Madera de Melissa & Doug,Juguetes y Juegos,Melissa & Doug,737.01,562,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Bolso de hombro de piel Cahier de Prada,"Ropa, Zapatos y Accesorios",Prada,4124.75,539,True,3028.21,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Auriculares Inalámbricos Deportivos Bose SoundSport Free,Electrónica,Bose,2080.53,348,True,1568.86,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Balón de Fútbol Adidas Tango Glider,Deportes y Aire Libre,Adidas,552.43,15,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Olla de presión eléctrica Mini Lux 6 en 1 de Instant Pot,Cocina y Hogar,Instant Pot,7932.71,6,True,6667.67,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Apilador Geométrico de Melissa & Doug,Juguetes y Juegos,Melissa & Doug,2104.36,836,True,1360.72,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Zapatillas de Entrenamiento para Hombre Project Rock 2 de Under Armour,Deportes y Aire Libre,Under Armour,375.33,488,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Altavoz Bluetooth Bose SoundLink Mini II,Electrónica,Bose,8849.51,824,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Zapatillas Pro Bounce de Basketball para Hombres de Adidas,"Ropa, Zapatos y Accesorios",Adidas,3165.54,894,True,1998.57,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Cartel de Responsabilidad Magnético de Melissa & Doug,Juguetes y Juegos,Melissa & Doug,2400.89,458,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Purificador de aire Dyson Pure Cool TP04,Cocina y Hogar,Dyson,3057.28,608,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Carusel para cápsulas de café Keurig K-Cup,Cocina y Hogar,Keurig,5189.94,249,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Pullover 1/4 Zip The North Face Glacier,Deportes y Aire Libre,The North Face,953.68,867,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Clutch de piel de Mujeres de Prada,"Ropa, Zapatos y Accesorios",Prada,7419.67,836,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Zapatillas Charged Assert 9 para Correr para Mujeres de Under Armour,"Ropa, Zapatos y Accesorios",Under Armour,7222.57,560,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Tostadora de 4 rebanadas KitchenAid,Cocina y Hogar,KitchenAid,1709.34,946,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Bolso Soho Disco de Mujeres de Gucci,"Ropa, Zapatos y Accesorios",Gucci,8919.54,573,True,7406.72,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Tapa de vidrio templado de Instant Pot,Cocina y Hogar,Instant Pot,7288.61,868,True,6518.45,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
TV LED Inteligente 4K UHD Sony X900F,Electrónica,Sony,1695.07,156,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Nike Sudadera con capucha Club Sportswear para Hombres,"Ropa, Zapatos y Accesorios",Nike,664.73,954,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Camiseta de manga corta MK1 para Hombres de Under Armour,"Ropa, Zapatos y Accesorios",Under Armour,6624.98,902,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Sudadera con Capucha de Felpa Rival de Under Armour,Deportes y Aire Libre,Under Armour,723.26,324,True,369.27,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Paquete Mega de Pulseras LEGO DOTS,Juguetes y Juegos,LEGO,2003.95,649,True,1498.62,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Muelle de Atracciones Heartlake City LEGO Friends,Juguetes y Juegos,LEGO,573.09,385,True,484.82,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Máquina de helado Cuisinart ICE-21,Cocina y Hogar,Cuisinart,2845.63,236,True,2255.55,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Paranormal Intercept Bus 3000 LEGO Hidden Side,Juguetes y Juegos,LEGO,1822.2,610,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Calcetines Altos hasta la Pantorrilla Nike Classic II Cushion,Deportes y Aire Libre,Nike,754.74,868,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Batidora de pie KitchenAid Artisan Mini,Cocina y Hogar,KitchenAid,7424.32,797,True,4976.31,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Purificador de aire Dyson Pure Cool TP02,Cocina y Hogar,Dyson,4577.39,171,True,3708.6,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Apple iPad Air,Electrónica,Apple,9433.32,496,True,7843.18,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Camiseta Tech Twist V-Neck para Mujeres de Under Armour,"Ropa, Zapatos y Accesorios",Under Armour,437.6,237,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Zapatillas America's Cup para Hombres de Prada,"Ropa, Zapatos y Accesorios",Prada,974.33,645,True,768.04,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Auriculares Inalámbricos True Wireless LG Tone Free FN4,Electrónica,LG,1181.84,996,True,973.86,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Apple iPad (9na Generación),Electrónica,Apple,2608.75,18,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Parrilla Cuisinart Griddler,Cocina y Hogar,Cuisinart,2089.72,10,True,1336.13,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Taza de viaje AUTOSEAL de 14 oz. Contigo de Keurig,Cocina y Hogar,Keurig,2949.23,125,True,1527.96,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Perezoso de Movimientos Suaves Linkimals de Fisher-Price,Juguetes y Juegos,Fisher-Price,2466.61,239,True,2096.02,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Pantalones de entrenamiento secos Nike para Hombres,"Ropa, Zapatos y Accesorios",Nike,1272.2,52,True,949.35,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Samsung TV QLED 4K Inteligente de 43 pulgadas,Electrónica,Samsung,9305.64,570,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Zapatillas Cloudfoam QT Racer de Running para Mujeres de Adidas,"Ropa, Zapatos y Accesorios",Adidas,1455.85,859,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
